country,country_clean,region,is_developed,year,month,quarter,date,period,season,year_category,energy_source,energy_source_clean,source_category,energy_type,electricity_production_gwh,share_of_total,is_renewable,is_fossil,energy_intensity_category,is_outlier,is_negative,is_zero
Australia,Australia,Oceania,True,2012,1,1,2012-01-01,2010-2014,Winter,Early 2010s,Coal,Coal,Fossil Fuel,Conventional,153868.902,0.6507660649596528,False,True,Very High,False,False,False
Australia,Australia,Oceania,True,2012,1,1,2012-01-01,2010-2014,Winter,Early 2010s,Geothermal,Geothermal,Renewable,Clean Energy,0.996,4.2212274994406005e-06,True,False,Low,False,False,False
Australia,Australia,Oceania,True,2012,1,1,2012-01-01,2010-2014,Winter,Early 2010s,Hydro,Hydro,Renewable,Clean Energy,16664.078,0.0706334079280028,True,False,High,False,False,False
Australia,Australia,Oceania,True,2012,1,1,2012-01-01,2010-2014,Winter,Early 2010s,Natural gas,Natural Gas,Fossil Fuel,Conventional,48105.378,0.2036289495846746,False,True,High,False,False,False
Australia,Australia,Oceania,True,2012,1,1,2012-01-01,2010-2014,Winter,Early 2010s,Oil,Oil,Fossil Fuel,Conventional,4657.953,0.0190823980291456,False,True,Medium,False,False,False
Australia,Australia,Oceania,True,2012,1,1,2012-01-01,2010-2014,Winter,Early 2010s,Solar,Solar,Renewable,Clean Energy,2920.8540000000003,0.0123956985139958,True,False,Medium,False,False,False
Australia,Australia,Oceania,True,2012,1,1,2012-01-01,2010-2014,Winter,Early 2010s,Wind,Wind,Renewable,Clean Energy,7388.844,0.0311877218278112,True,False,Medium,False,False,False
Australia,Australia,Oceania,True,2013,1,1,2013-01-01,2010-2014,Winter,Early 2010s,Coal,Coal,Fossil Fuel,Conventional,145139.331,0.6292018789783149,False,True,Very High,False,False,False
Australia,Australia,Oceania,True,2013,1,1,2013-01-01,2010-2014,Winter,Early 2010s,Geothermal,Geothermal,Renewable,Clean Energy,0.996,4.330175770177815e-06,True,False,Low,False,False,False
Australia,Australia,Oceania,True,2013,1,1,2013-01-01,2010-2014,Winter,Early 2010s,Hydro,Hydro,Renewable,Clean Energy,19259.803,0.0839163446584862,True,False,High,False,False,False
Australia,Australia,Oceania,True,2013,1,1,2013-01-01,2010-2014,Winter,Early 2010s,Natural gas,Natural Gas,Fossil Fuel,Conventional,46127.382,0.1996378756828365,False,True,High,False,False,False
Australia,Australia,Oceania,True,2013,1,1,2013-01-01,2010-2014,Winter,Early 2010s,Oil,Oil,Fossil Fuel,Conventional,4428.611,0.0159545951693126,False,True,Medium,False,False,False
Australia,Australia,Oceania,True,2013,1,1,2013-01-01,2010-2014,Winter,Early 2010s,Solar,Solar,Renewable,Clean Energy,3752.444,0.0162360244174893,True,False,Medium,False,False,False
Australia,Australia,Oceania,True,2013,1,1,2013-01-01,2010-2014,Winter,Early 2010s,Wind,Wind,Renewable,Clean Energy,9543.505,0.0415123761691317,True,False,Medium,False,False,False
Australia,Australia,Oceania,True,2014,1,1,2014-01-01,2010-2014,Winter,Early 2010s,Coal,Coal,Fossil Fuel,Conventional,145301.084,0.6106946222129596,False,True,Very High,False,False,False
Australia,Australia,Oceania,True,2014,1,1,2014-01-01,2010-2014,Winter,Early 2010s,Geothermal,Geothermal,Renewable,Clean Energy,0.996,4.193507670596178e-06,True,False,Low,False,False,False
Australia,Australia,Oceania,True,2014,1,1,2014-01-01,2010-2014,Winter,Early 2010s,Hydro,Hydro,Renewable,Clean Energy,14590.378,0.0613205593918446,True,False,High,False,False,False
Australia,Australia,Oceania,True,2014,1,1,2014-01-01,2010-2014,Winter,Early 2010s,Natural gas,Natural Gas,Fossil Fuel,Conventional,53926.202,0.2262508071235689,False,True,High,False,False,False
Australia,Australia,Oceania,True,2014,1,1,2014-01-01,2010-2014,Winter,Early 2010s,Oil,Oil,Fossil Fuel,Conventional,6115.132,0.0249441504415878,False,True,Medium,False,False,False
Australia,Australia,Oceania,True,2014,1,1,2014-01-01,2010-2014,Winter,Early 2010s,Solar,Solar,Renewable,Clean Energy,4534.416,0.0190191377829885,True,False,Medium,False,False,False
Australia,Australia,Oceania,True,2014,1,1,2014-01-01,2010-2014,Winter,Early 2010s,Wind,Wind,Renewable,Clean Energy,10410.671,0.0437313087778662,True,False,High,False,False,False
Australia,Australia,Oceania,True,2015,1,1,2015-01-01,2010-2014,Winter,Early 2010s,Coal,Coal,Fossil Fuel,Conventional,152537.683463,0.6328367801891643,False,True,Very High,False,False,False
Australia,Australia,Oceania,True,2015,1,1,2015-01-01,2010-2014,Winter,Early 2010s,Geothermal,Geothermal,Renewable,Clean Energy,0.498,2.0935125827284984e-06,True,False,Low,False,False,False
Australia,Australia,Oceania,True,2015,1,1,2015-01-01,2010-2014,Winter,Early 2010s,Hydro,Hydro,Renewable,Clean Energy,14263.526273,0.0590014710152274,True,False,High,False,False,False
Australia,Australia,Oceania,True,2015,1,1,2015-01-01,2010-2014,Winter,Early 2010s,Natural gas,Natural Gas,Fossil Fuel,Conventional,47353.981764,0.1965957415402097,False,True,High,False,False,False
Australia,Australia,Oceania,True,2015,1,1,2015-01-01,2010-2014,Winter,Early 2010s,Oil,Oil,Fossil Fuel,Conventional,6137.008159,0.0254785263017395,False,True,Medium,False,False,False
Australia,Australia,Oceania,True,2015,1,1,2015-01-01,2010-2014,Winter,Early 2010s,Solar,Solar,Renewable,Clean Energy,5022.856996,0.020944717495309,True,False,Medium,False,False,False
Australia,Australia,Oceania,True,2015,1,1,2015-01-01,2010-2014,Winter,Early 2010s,Wind,Wind,Renewable,Clean Energy,12490.271786,0.0516221688141096,True,False,High,False,False,False
Australia,Australia,Oceania,True,2016,1,1,2016-01-01,2015-2017,Winter,Mid 2010s,Coal,Coal,Fossil Fuel,Conventional,154201.646306,0.6273132654315651,False,True,Very High,False,False,False
Australia,Australia,Oceania,True,2016,1,1,2016-01-01,2015-2017,Winter,Mid 2010s,Geothermal,Geothermal,Renewable,Clean Energy,0.498,2.1000691303541865e-06,True,False,Low,False,False,False
Australia,Australia,Oceania,True,2016,1,1,2016-01-01,2015-2017,Winter,Mid 2010s,Hydro,Hydro,Renewable,Clean Energy,17985.428191,0.0735079365188898,True,False,High,False,False,False
Australia,Australia,Oceania,True,2016,1,1,2016-01-01,2015-2017,Winter,Mid 2010s,Natural gas,Natural Gas,Fossil Fuel,Conventional,44037.96038,0.1785266525060088,False,True,High,False,False,False
Australia,Australia,Oceania,True,2016,1,1,2016-01-01,2015-2017,Winter,Mid 2010s,Oil,Oil,Fossil Fuel,Conventional,3692.240496,0.0145972604541949,False,True,Medium,False,False,False
Australia,Australia,Oceania,True,2016,1,1,2016-01-01,2015-2017,Winter,Mid 2010s,Solar,Solar,Renewable,Clean Energy,7066.919425,0.0291199536149669,True,False,Medium,False,False,False
Australia,Australia,Oceania,True,2016,1,1,2016-01-01,2015-2017,Winter,Mid 2010s,Wind,Wind,Renewable,Clean Energy,13701.626079,0.0558646554070076,True,False,High,False,False,False
Australia,Australia,Oceania,True,2017,1,1,2017-01-01,2015-2017,Winter,Mid 2010s,Coal,Coal,Fossil Fuel,Conventional,148597.716462,0.6055249760301096,False,True,Very High,False,False,False
Australia,Australia,Oceania,True,2017,1,1,2017-01-01,2015-2017,Winter,Mid 2010s,Geothermal,Geothermal,Renewable,Clean Energy,0.498,2.037685867802302e-06,True,False,Low,False,False,False
Australia,Australia,Oceania,True,2017,1,1,2017-01-01,2015-2017,Winter,Mid 2010s,Hydro,Hydro,Renewable,Clean Energy,13532.228373,0.0551135697790483,True,False,High,False,False,False
Australia,Australia,Oceania,True,2017,1,1,2017-01-01,2015-2017,Winter,Mid 2010s,Natural gas,Natural Gas,Fossil Fuel,Conventional,51955.10027,0.2120410622790849,False,True,High,False,False,False
Australia,Australia,Oceania,True,2017,1,1,2017-01-01,2015-2017,Winter,Mid 2010s,Oil,Oil,Fossil Fuel,Conventional,5430.265535,0.0221621990240912,False,True,Medium,False,False,False
Australia,Australia,Oceania,True,2017,1,1,2017-01-01,2015-2017,Winter,Mid 2010s,Solar,Solar,Renewable,Clean Energy,8683.883517,0.0355048173364663,True,False,Medium,False,False,False
Australia,Australia,Oceania,True,2017,1,1,2017-01-01,2015-2017,Winter,Mid 2010s,Wind,Wind,Renewable,Clean Energy,13492.805631,0.05501543171667,True,False,High,False,False,False
Australia,Australia,Oceania,True,2018,1,1,2018-01-01,2015-2017,Winter,Mid 2010s,Coal,Coal,Fossil Fuel,Conventional,146846.260225,0.5927874326068953,False,True,Very High,False,False,False
Australia,Australia,Oceania,True,2018,1,1,2018-01-01,2015-2017,Winter,Mid 2010s,Geothermal,Geothermal,Renewable,Clean Energy,0.0,0.0,True,False,Low,False,False,True
Australia,Australia,Oceania,True,2018,1,1,2018-01-01,2015-2017,Winter,Mid 2010s,Hydro,Hydro,Renewable,Clean Energy,17819.081472,0.0717094944743753,True,False,High,False,False,False
Australia,Australia,Oceania,True,2018,1,1,2018-01-01,2015-2017,Winter,Mid 2010s,Natural gas,Natural Gas,Fossil Fuel,Conventional,46601.462012,0.1880527105862914,False,True,High,False,False,False
